2023-12-09 15:44:26.68467125 +0000 UTC,5BWL3  ,EDT YAM             ,33,8120583,212212000,31.827508333333334,34.64459166666666,ASHDOD / IL         ,1,60,16,8,7,3.2,5
2023-12-09 15:44:27.469941944 +0000 UTC,V2YD4,IRIS,40,9103776,305384000,36.622391666666665,29.10527666666667,RODOS,1,14,10,4,4,0,5
2023-12-09 15:44:29.203538128 +0000 UTC,5VIC8  ,SYMPHONY            ,70,7810222,671290100,31.821858333333335,34.636606666666665,IL ASH              ,1,0,0,0,0,6.7,5
2023-12-09 15:44:35.574064159 +0000 UTC,4XFR   ,MAORA 1             ,52,9132583,428000112,32.4726,34.88373333333333,HADERA PORT         ,1,11,22,8,3,4.3,5
2023-12-09 15:44:39.244687042 +0000 UTC,3FUD   ,KAZIME ANA          ,79,8420359,371343000,31.822433333333333,34.636433333333336,ILASH               ,1,15,100,8,8,7.4,5
2023-12-09 15:44:39.381088625 +0000 UTC,CRXR   ,EDT AURORA          ,52,9577238,255979000,34.645185,33.00913,CY LMS              ,1,13,19,6,6,5,5
2023-12-09 15:44:47.078597055 +0000 UTC,J8B3389,ZAYYAN K            ,70,7394321,375369000,31.827928333333332,34.646910000000005,ASHDOD (IL)         ,1,63,18,6,9,7.1,5
2023-12-09 15:44:53.306880587 +0000 UTC,V4NJ4  ,SHIRA-E             ,70,9083897,341258000,31.907833333333333,34.46333333333334,IL ASH              ,1,90,17,9,7,6.5,5
2023-12-09 15:45:06.569598783 +0000 UTC,T8A3527,BENIGANE            ,70,9455600,511100389,31.826991666666668,34.64594666666667,IL/ASH              ,15,118,12,7,13,9,5
